year,pid,urban,hhnature,total_asset,age,gender,educ,marriage,health,precarious_job,industry,workhour,wage_month,job_status,wage_year,social_status,job_satisfaction,provname,upbringing,inc_exp_p
2014,440178102.0,1.0,0.0,38.32500076293945,40.0,0.0,6.0,1.0,1.0,0.0,11.0,40.0,2000.0,1.0,28500.0,2.0,3.0,广东,1.0,0.8344791
2014,340367102.0,0.0,1.0,42.59812545776367,62.0,0.0,6.0,1.0,1.0,0.0,,14.0,,1.0,0.0,3.0,4.0,安徽,1.0,
2014,211260102.0,1.0,0.0,21.027999877929688,62.0,0.0,9.0,0.0,3.0,0.0,,,,0.0,,3.0,,辽宁,0.0,1.3341067
2014,430559101.0,1.0,1.0,32.15684127807617,56.0,1.0,12.0,1.0,4.0,0.0,,36.0,,1.0,0.0,4.0,1.0,湖南,0.33333334,0.5116544
2014,130895101.0,0.0,1.0,3.6762499809265137,29.0,0.0,6.0,1.0,5.0,0.0,,,,0.0,,3.0,,河北,0.6666667,0.39509952
2014,510586102.0,0.0,1.0,19.515832901000977,49.0,0.0,6.0,1.0,2.0,0.0,,56.0,,1.0,0.0,3.0,2.0,四川,0.33333334,0.40609136
2014,411270101.0,1.0,0.0,48.38999938964844,33.0,0.0,15.0,1.0,4.0,1.0,5.0,40.0,6000.0,0.0,8000.0,3.0,4.0,河南,1.0,0.67796606
2014,370566101.0,1.0,0.0,104.68000030517578,36.0,1.0,12.0,1.0,5.0,0.0,8.0,35.0,,1.0,0.0,3.0,3.0,山东,0.5,
2014,620720102.0,0.0,1.0,-0.18299999833106995,60.0,1.0,,1.0,1.0,0.0,,40.0,,1.0,4000.0,2.0,4.0,甘肃,0.0,0.09330445
2014,440441102.0,0.0,0.0,6.429999828338623,42.0,0.0,6.0,1.0,2.0,0.0,,70.0,,1.0,0.0,4.0,3.0,广东,0.0,0.21333332
