pid,year,gender,age,educ,marriage,child_num,job,job_precarity,job_security_dummy,bianzhi,wage,industry,provname
340007101,2014,0.0,32,9.0,1.0,2,1,,,,50000.0,,安徽
340085104,2014,1.0,22,9.0,0.0,0,0,,0.0,,7000.0,制造业,安徽
340020101,2014,0.0,44,6.0,1.0,1,1,,,,60000.0,,安徽
340076101,2014,1.0,51,6.0,1.0,1,1,2.0,0.0,,20000.0,建筑业,安徽
340079432,2014,1.0,31,6.0,1.0,1,0,,0.0,,800.0,制造业,安徽
340128102,2014,0.0,44,9.0,1.0,1,1,2.0,,,,建筑业,安徽
340027103,2014,1.0,26,9.0,1.0,1,1,,0.0,,,制造业,安徽
340061103,2014,1.0,41,0.0,1.0,0,1,,0.0,,36000.0,建筑业,安徽
340006101,2014,0.0,44,9.0,1.0,0,1,,0.0,,14000.0,租赁和商务服务业,安徽
340015103,2014,0.0,29,15.0,0.0,0,1,2.0,0.0,,57000.0,建筑业,安徽
226551502,2014,0.0,35,12.0,1.0,2,0,,0.0,,18500.0,制造业,安徽
340074102,2014,0.0,30,9.0,0.0,0,1,,,,30900.0,,安徽
340380103,2014,0.0,22,6.0,0.0,0,1,,0.0,,25000.0,房地产业,安徽
340261103,2014,1.0,31,15.0,1.0,1,1,,0.0,,,批发和零售业,安徽
340314101,2014,0.0,47,6.0,1.0,1,1,,0.0,,20000.0,建筑业,安徽
340255101,2014,0.0,48,12.0,1.0,0,1,,0.0,,60000.0,制造业,安徽
340303101,2014,0.0,45,9.0,1.0,0,1,,0.0,,10000.0,建筑业,安徽
340323105,2014,1.0,24,12.0,1.0,1,0,,0.0,,,制造业,安徽
340371103,2014,1.0,26,9.0,0.0,0,1,2.0,0.0,,,教育,安徽
340360103,2014,0.0,36,16.0,1.0,1,1,2.0,1.0,,30000.0,教育,安徽
340297101,2014,0.0,46,6.0,1.0,0,1,2.0,0.0,,,制造业,安徽
340293101,2014,0.0,50,9.0,1.0,0,1,,0.0,,30000.0,建筑业,安徽
340349101,2014,0.0,50,9.0,1.0,0,1,,,,20000.0,,安徽
340375103,2014,0.0,20,12.0,0.0,0,1,,1.0,,25000.0,批发和零售业,安徽
340257101,2014,0.0,57,0.0,1.0,0,1,,,,,制造业,安徽
340370102,2014,0.0,41,6.0,1.0,0,1,,0.0,,35000.0,建筑业,安徽
340381104,2014,1.0,25,12.0,1.0,0,1,2.0,0.0,,30000.0,制造业,安徽
340176102,2014,1.0,43,9.0,1.0,0,1,,,,,制造业,安徽
340157103,2014,1.0,23,6.0,1.0,1,0,,0.0,,,制造业,安徽
340174104,2014,0.0,37,6.0,1.0,2,1,,0.0,,20000.0,制造业,安徽
340244101,2014,0.0,44,6.0,1.0,1,1,,0.0,,17500.0,批发和零售业,安徽
